Uniontown;37.7732;-87.9318
St. Bernice;39.7119;-87.52
Brocton;39.7154;-87.9336
Beech Grove;39.7157;-86.0871
New Palestine;39.7255;-85.8961
Mecca;39.7271;-87.3317
Heritage Lake;39.7288;-86.7123
Van Bibber Lake;39.7292;-86.9296
Carthage;39.7369;-85.5715
Boston;39.7412;-84.8517
Danville;39.7603;-86.5076
Avon;39.7603;-86.3917
Bainbridge;39.7615;-86.8117
Rockville;39.7665;-87.2295
Spring Lake;39.7767;-85.8536
Indianapolis;39.7771;-86.1458
Warren Park;39.7833;-86.0516
Cumberland;39.7844;-85.9458
Milton;39.7862;-85.1563
Montezuma;39.7911;-87.3694
Greenfield;39.7936;-85.7737
Speedway;39.7937;-86.2479
Knightstown;39.796;-85.5312
Newman;39.797;-87.9877
Hume;39.7981;-87.8686
Metcalf;39.8004;-87.8078
Dunreith;39.8028;-85.4366
Chrisman;39.8044;-87.6749
Lewisville;39.8068;-85.3529
Dana;39.8072;-87.4945
Straughn;39.8083;-85.2909
Mount Auburn;39.8123;-85.1905
Cambridge City;39.8124;-85.1703
Dublin;39.8127;-85.2055
East Germantown;39.8133;-85.1369
Clermont;39.8167;-86.3207
Bloomingdale;39.8306;-87.2502
Richmond;39.8318;-84.8905
Centerville;39.8321;-84.9922
Wynnedale;39.8326;-86.2004
Brownsburg;39.833;-86.3824
Spring Hill;39.8346;-86.1926
Spiceland;39.8433;-85.4261
Spring Grove;39.8472;-84.8912
Marshall;39.8475;-87.1868
Rocky Ripple;39.8484;-86.1731
Roachdale;39.8491;-86.8004
Crows Nest;39.8565;-86.1691
New Paris;39.8565;-84.7922
Russellville;39.8569;-86.9834
North Salem;39.8598;-86.6444
North Crows Nest;39.8661;-86.1623
Lawrence;39.8674;-85.9905
Pittsboro;39.8705;-86.4654
Waveland;39.8774;-87.0454
Greensboro;39.8787;-85.4638
Lizton;39.8837;-86.5416
Newport;39.8841;-87.4072
Wilkinson;39.8857;-85.6084
Longview;39.8859;-88.0662
Meridian Hills;39.8874;-86.1567
Shirley;39.8911;-85.5801
Greens Fork;39.8918;-85.041
Ridge Farm;39.8957;-87.652
McCordsville;39.8967;-85.9209
Williams Creek;39.9001;-86.1502
Kennard;39.9054;-85.5222
Broadlands;39.9087;-87.9971
Sidell;39.9097;-87.8236
Hagerstown;39.9115;-85.1554
Allerton;39.9161;-87.9353
Ladoga;39.9167;-86.7989
New Castle;39.919;-85.3697
Fortville;39.9247;-85.8465
Indianola;39.927;-87.7403
Jamestown;39.9286;-86.626
Olivet;39.9414;-87.6379
Whitewater;39.9449;-84.8309
Cayuga;39.9473;-87.4647
Cadiz;39.9509;-85.4869
New Market;39.9527;-86.9215
Fountain City;39.9548;-84.9193
Fishers;39.9589;-85.9661
Lake Holiday;39.9642;-86.9607
New Ross;39.9646;-86.7142
Carmel;39.965;-86.146
Kingman;39.9664;-87.278
Whitestown;39.9705;-86.3612
Ingalls;39.9746;-85.8148
Markleville;39.9763;-85.6166
Georgetown;39.9774;-87.6354
Economy;39.9774;-85.0871
Alamo;39.9834;-87.0552
Wallace;39.987;-87.1473
Zionsville;39.9897;-86.3182
Advance;39.9956;-86.6199
Mooreland;39.9974;-85.2513
Hollansburg;39.9986;-84.7927
Sulphur Springs;39.9989;-85.4391
Mount Summit;40.0035;-85.386
Pendleton;40.0067;-85.7712
Losantville;40.0236;-85.1835
Sidney;40.025;-88.0721
Lebanon;40.0324;-86.4551
Westfield;40.0333;-86.1532
Lapel;40.0334;-85.8407
Homer;40.0335;-87.9578
Noblesville;40.0354;-86.0042
Crawfordsville;40.0428;-86.8975
Westville;40.0439;-87.6389
Fairmount;40.0456;-87.8293
Modoc;40.0456;-85.1262
Springport;40.047;-85.3926
Lynn;40.0488;-84.9424
Perrysville;40.0532;-87.436
Middletown;40.0596;-85.5422
Blountsville;40.06;-85.2383
Belgium;40.0607;-87.6328
Ulen;40.0662;-86.4651
Catlin;40.0675;-87.7079
Waynetown;40.088;-87.0655
Anderson;40.0891;-85.6893
Tilton;40.0941;-87.6398
Edgewood;40.1032;-85.7375
Darlington;40.1073;-86.7767
Hillsboro;40.1089;-87.1576
Oakwood;40.1101;-87.7769
River Forest;40.1107;-85.7294
Chesterfield;40.113;-85.5943
Veedersburg;40.114;-87.2568
St. Joseph;40.1141;-88.0354
Fithian;40.1143;-87.875
Ogden;40.115;-87.9563
Muncie;40.1161;-87.8428
Woodlawn Heights;40.1184;-85.6969
Daleville;40.1189;-85.5573
Country Club Heights;40.1242;-85.6877
Cicero;40.1247;-86.0242
Thorntown;40.1292;-86.6099
Sheridan;40.132;-86.2197
Covington;40.1406;-87.3913
Danville;40.1423;-87.6114
Mellott;40.1641;-87.1488
Winchester;40.172;-84.9766
Wingate;40.1723;-87.0726
Arcadia;40.1742;-86.021
Yorktown;40.183;-85.5123
Linden;40.1889;-86.9023
Selma;40.189;-85.2753
Farmland;40.1895;-85.1273
Parker City;40.1898;-85.2037
Kirklin;40.1929;-86.3593
Royal;40.1932;-87.9725
Colfax;40.1941;-86.6668
New Richmond;40.1942;-86.9779
State Line City;40.1974;-87.527
Muncie;40.1989;-85.395
Union City;40.1995;-84.8206
Union City;40.1996;-84.7943
Newtown;40.2045;-87.1483
Atlanta;40.2139;-86.0271
Frankton;40.2211;-85.7719
Saratoga;40.2368;-84.9159
Clarks Hill;40.2472;-86.7245
Alexandria;40.2584;-85.676
Bismarck;40.2594;-87.6113
Orestes;40.271;-85.7247
West Lebanon;40.2724;-87.3862
Elwood;40.2744;-85.837
Frankfort;40.281;-86.5213
Tipton;40.282;-86.0422
Stockwell;40.2822;-86.7687
Attica;40.2874;-87.2452
Kempton;40.2881;-86.2294
Williamsport;40.2884;-87.2922
Ridgeville;40.2921;-85.0285
Penfield;40.3047;-87.9444
Albany;40.3056;-85.2331
Potomac;40.3068;-87.7977
Henning;40.3069;-87.701
Alvan;40.307;-87.6069
Gifford;40.3079;-88.0214
Gaston;40.314;-85.501
Eaton;40.3218;-85.3591
Michigantown;40.3281;-86.3916
Summitville;40.3359;-85.6437
West Point;40.3412;-87.0432
Mulberry;40.3458;-86.6672
Redkey;40.3483;-85.1539
Shadeland;40.3509;-86.9622
Windfall City;40.3619;-85.9584
Dunkirk;40.3741;-85.2076
Dayton;40.3752;-86.7739
Sharpsville;40.3797;-86.0869
Rossville;40.3815;-87.67
Salamonia;40.386;-84.8652
Matthews;40.3875;-85.4977
Lafayette;40.399;-86.8594
Fowlerton;40.4095;-85.5728
Shamrock Lakes;40.4117;-85.4261
Fairmount;40.4173;-85.6477
Russiaville;40.4185;-86.2731
Rossville;40.4196;-86.5958
Point Isabel;40.4206;-85.8219
Portland;40.4375;-84.9833
West Lafayette;40.4432;-86.9239
Pine Village;40.4495;-87.2534
Hartford City;40.4537;-85.3736
Hoopeston;40.4608;-87.6635
Upland;40.4639;-85.5008
Kokomo;40.464;-86.1277
Rankin;40.4644;-87.8959
Montmorenci;40.4705;-87.0354
Greentown;40.4766;-85.9623
Jonesboro;40.4796;-85.6302
Burlington;40.4822;-86.3947
Buck Creek;40.4874;-86.7622
Otterbein;40.4882;-87.0854
Gas City;40.4889;-85.5946
Ambia;40.4894;-87.5165
Pennville;40.492;-85.147
Sims;40.5006;-85.854
Swayzee;40.5066;-85.8244
Battle Ground;40.5076;-86.8527
Herbst;40.5145;-85.7815
Loda;40.516;-88.0756
Boswell;40.5173;-87.3756
Colburn;40.5188;-86.7125
Oxford;40.5214;-87.2482
Americus;40.5254;-86.7476
Bryant;40.5359;-84.9634
Wellington;40.5411;-87.6799
Flora;40.5455;-86.5226
Montpelier;40.5494;-85.2874
Marion;40.5496;-85.66
Cissna Park;40.567;-87.8922
Sweetser;40.5687;-85.7669
Mier;40.5748;-85.8234
Galveston;40.5767;-86.1924
Converse;40.5773;-85.878
Delphi;40.5834;-86.6668
Buckley;40.597;-88.0375
Geneva;40.5975;-84.9568
Brookston;40.6008;-86.8665
Amboy;40.6017;-85.9271
Camden;40.6099;-86.5397
Landess;40.6126;-85.5592
Van Buren;40.6157;-85.5039
Fowler;40.617;-87.3184
Jalapa;40.6263;-85.7464
Milford;40.6276;-87.6963
Poneto;40.6568;-85.2225
Berne;40.6572;-84.9555
Grissom AFB;40.6585;-86.148
Bunker Hill;40.6602;-86.1015
Walton;40.6622;-86.2441
Chalmers;40.6625;-86.8678
Yeoman;40.6677;-86.7238
Somerset;40.6695;-85.8321
La Fontaine;40.6739;-85.7221
Earl Park;40.6856;-87.42
Warren;40.6878;-85.425
Onward;40.6947;-86.1948
Vera Cruz;40.7016;-85.0795
Woodland;40.715;-87.731
Onarga;40.7153;-88.0108
Mount Etna;40.741;-85.5618
Bluffton;40.7424;-85.173
Monroe;40.7451;-84.941
Monticello;40.7455;-86.7669
Willshire;40.7465;-84.7924
Logansport;40.7472;-86.3519
Reynolds;40.7492;-86.8743
Idaville;40.7588;-86.6505
Wolcott;40.7591;-87.042
Peru;40.7594;-86.0757
Burnettsville;40.7612;-86.5947
Gilman;40.7627;-87.9973
Goodland;40.7637;-87.2952
Remington;40.765;-87.1556
Sheldon;40.771;-87.5657
Crescent City;40.7717;-87.8564
Kentland;40.774;-87.4465
Watseka;40.7751;-87.7304
Norway;40.7797;-86.7719
Wabash;40.8034;-85.8301
Mexico;40.8143;-86.1113
Danforth;40.822;-87.9778
Markle;40.8274;-85.3393
Decatur;40.8286;-84.9282
Iroquois;40.8288;-87.5844
Uniondale;40.8299;-85.2415
Lagro;40.8392;-85.7276
Andrews;40.8604;-85.6023
Monon;40.8642;-86.8786
Royal Center;40.8643;-86.5001
Denver;40.8647;-86.0772
Brook;40.8664;-87.3653
Ossian;40.877;-85.1682
Ashkum;40.8783;-87.9533
Huntington;40.8815;-85.5053
Donovan;40.8848;-87.6139
Buffalo;40.888;-86.7374
Collegeville;40.9058;-87.1612
Roann;40.9111;-85.9245
Martinton;40.9154;-87.7264
Zanesville;40.9155;-85.2807
Clifton;40.9348;-87.9343
Rensselaer;40.9375;-87.1684
Morocco;40.9445;-87.4503
Fulton;40.9467;-86.2641
Hoagland;40.952;-84.9955
Mount Ayr;40.9523;-87.299
Beaverville;40.9534;-87.6546
Macy;40.9582;-86.1288
Roanoke;40.9639;-85.3761
Papineau;40.9677;-87.7162
Monroeville;40.9732;-84.8673
Star City;40.9746;-86.5613
Laketon;40.9807;-85.8393
Francesville;40.9853;-86.8834
North Manchester;41.0044;-85.775
Chebanse;41.0058;-87.9098
Kewanna;41.0194;-86.4125
St. Anne;41.023;-87.7179
Akron;41.0388;-86.0249
Winamac;41.0535;-86.6037
Rochester;41.059;-86.196
New Haven;41.0675;-85.0175
Silver Lake;41.0744;-85.8922
Medaryville;41.0803;-86.8905
South Whitley;41.0838;-85.6278
Fort Wayne;41.0886;-85.1437
Sidney;41.1049;-85.7425
Woodburn;41.1287;-84.8501
Claypool;41.1306;-85.8826
Lake Village;41.1308;-87.439
Roselawn;41.1535;-87.2881
Burket;41.155;-85.9687
Monterey;41.1561;-86.4822
Columbia City;41.1612;-85.4855
Momence;41.164;-87.663
Bradley;41.1641;-87.8452
Mentone;41.174;-86.0382
Larwill;41.1792;-85.6243
Bourbonnais;41.183;-87.878
Wheatfield;41.1911;-87.0528
Schneider;41.1925;-87.4457
Shelby;41.1934;-87.3426
Harlan;41.1966;-84.9245
De Motte;41.1988;-87.1973
San Pierre;41.1989;-86.8921
Pierceton;41.1992;-85.7032
Grabill;41.2098;-84.9681
Huntertown;41.2155;-85.1715
Culver;41.2159;-86.4236
North Judson;41.2161;-86.7769
Winona Lake;41.2166;-85.8106
Leo-Cedarville;41.2199;-85.0192
Bass Lake;41.2304;-86.5845
Churubusco;41.231;-85.3197
Argos;41.2379;-86.2523
;;
Warsaw;41.2448;-85.8464
;;
Tri-Lakes;41.2507;-85.4433
Etna Green;41.2755;-86.0461
Knox;41.291;-86.621
Lowell;41.2921;-87.4184
Bourbon;41.2993;-86.1167
St. Joe;41.3147;-84.9012
Kouts;41.3172;-87.0269
La Crosse;41.3179;-86.8896
North Webster;41.324;-85.6979
Hebron;41.3246;-87.2017
Symerton;41.3255;-88.0532
Leesburg;41.3307;-85.8489
Peotone;41.3312;-87.7937
Lake Dalecarlia;41.337;-87.4036
Plymouth;41.3483;-86.3187
;;
Altona;41.3522;-85.1526
Garrett;41.3526;-85.1238
Avilla;41.3637;-85.2317
Auburn;41.3666;-85.0559
Cedar Lake;41.3697;-87.4383
Hamlet;41.3792;-86.5831
Kimmell;41.395;-85.5487
Albion;41.3966;-85.4187
Cromwell;41.4034;-85.6142
Lakes of the Four Seasons;41.4074;-87.2203
Winfield;41.4098;-87.2623
Hanna;41.4119;-86.7795
Crown Point;41.4141;-87.3457
Milford;41.4142;-85.8446
Koontz Lake;41.4169;-86.4827
;;
;;
;;
Butler;41.4274;-84.8721
Wanatah;41.4304;-86.8926
Waterloo;41.4328;-85.0347
Corunna;41.4359;-85.144
;;
Aberdeen;41.4418;-87.1166
St. John;41.4431;-87.47
Kendallville;41.4441;-85.2578
Nappanee;41.4452;-85.9941
;;
Bremen;41.4484;-86.1506
La Paz;41.456;-86.3083
Shorewood Forest;41.4598;-87.1497
Ligonier;41.4625;-85.5948
Walkerton;41.4656;-86.4825
;;
Merrillville;41.4728;-87.3197
Valparaiso;41.4782;-87.0507
Kingsford Heights;41.4784;-86.693
;;
;;
;;
Schererville;41.486;-87.444
;;
Rome City;41.4892;-85.361
;;
;;
;;
New Paris;41.5005;-85.8248
;;
;;
Chicago Heights;41.5101;-87.6345
Wheeler;41.5105;-87.1712
;;
Salt Creek Commons;41.5112;-87.1412
Hobart;41.5139;-87.2729
;;
;;
Ashley;41.5214;-85.0614
;;
;;
Wolcottville;41.5255;-85.3665
Millersburg;41.5277;-85.6964
Griffith;41.5279;-87.424
Lakeville;41.5288;-86.2745
Kingsbury;41.5302;-86.6972
Hudson;41.5318;-85.084
North Liberty;41.5324;-86.428
;;
Wakarusa;41.5336;-86.0139
Westville;41.5375;-86.9049
;;
Topeka;41.5394;-85.5475
;;
Hamilton;41.541;-84.9204
South Haven;41.5438;-87.1367
;;
Highland;41.5485;-87.4587
New Chicago;41.5587;-87.2718
;;
Fairmont;41.5614;-88.0587
Fish Lake;41.5616;-86.5513
;;
;;
;;
;;
Lake Station;41.5729;-87.2599
;;
Goshen;41.5743;-85.8308
;;
Portage;41.5866;-87.1792
;;
;;
Gary;41.5906;-87.3472
;;
Chesterton;41.5997;-87.0548
;;
;;
;;
;;
;;
;;
;;
;;
Hammond;41.6169;-87.491
Burns Harbor;41.6189;-87.1258
Ogden Dunes;41.6229;-87.1932
;;
Porter;41.6257;-87.0801
;;
;;
;;
Dunlap;41.6346;-85.9235
;;
;;
Angola;41.6433;-85.0051
;;
Dune Acres;41.6448;-87.096
;;
Lagrange;41.6481;-85.4181
East Chicago;41.6484;-87.4536
;;
;;
Osceola;41.6647;-86.0787
;;
;;
;;
Middlebury;41.6696;-85.7075
;;
Whiting;41.6731;-87.4843
Mishawaka;41.6736;-86.1669
Rolling Prairie;41.6743;-86.6207
Shipshewana;41.6743;-85.5765
South Bend;41.6767;-86.2696
;;
Beverly Shores;41.685;-86.9804
;;
Town of Pines;41.6882;-86.9518
Elkhart;41.6916;-85.9628
Trail Creek;41.6963;-86.8555
;;
Notre Dame;41.7014;-86.2378
New Carlisle;41.7018;-86.4916
Michigan City;41.7099;-86.8705
Indian Village;41.7142;-86.2322
Hudson Lake;41.7173;-86.5476
Roseland;41.7176;-86.2505
Bristol;41.7183;-85.8227
Howe;41.7228;-85.4255
Pottawattamie Park;41.7233;-86.8671
Fremont;41.728;-84.9396
Orland;41.7305;-85.1722
Granger;41.7373;-86.135
Clear Lake;41.7388;-84.8391
Long Beach;41.7435;-86.8521
Simonton Lake;41.7478;-85.9657
Michiana Shores;41.7565;-86.8183
